time,SNR
0.156006,0.403268
0.156494,0.237710
0.156982,0.127014
0.157471,0.126418
0.157959,0.184535
0.158447,0.278911
0.158936,0.390105
0.159424,0.485273
0.159912,0.547559
0.160400,0.592106
0.160889,0.643514
0.161377,0.696329
0.161865,0.720873
0.162354,0.688426
0.162842,0.598846
0.163330,0.479806
0.163818,0.377442
0.164307,0.331675
0.164795,0.324645
0.165283,0.291738
0.165771,0.207459
0.166260,0.180427
0.166748,0.326848
0.167236,0.511660
0.167725,0.698132
0.168213,0.933363
0.168701,1.230593
0.169189,1.522775
0.169678,1.706616
0.170166,1.711068
0.170654,1.549011
0.171143,1.306819
0.171631,1.104817
0.172119,0.995072
0.172607,0.921541
0.173096,0.800133
0.173584,0.611655
0.174072,0.396686
0.174561,0.187011
0.175049,0.062211
0.175537,0.227862
0.176025,0.415959
0.176514,0.592810
0.177002,0.746878
0.177490,0.868388
0.177979,0.955679
0.178467,1.018844
0.178955,1.068537
0.179443,1.096218
0.179932,1.087748
0.180420,1.039886
0.180908,0.978439
0.181396,0.945945
0.181885,0.958908
0.182373,0.986729
0.182861,0.982243
0.183350,0.919215
0.183838,0.801362
0.184326,0.659288
0.184814,0.541672
0.185303,0.483628
0.185791,0.486751
0.186279,0.533776
0.186768,0.588826
0.187256,0.619132
0.187744,0.616617
0.188232,0.598135
0.188721,0.593053
0.189209,0.616299
0.189697,0.651473
0.190186,0.668897
0.190674,0.663577
0.191162,0.654005
0.191650,0.670736
0.192139,0.746925
0.192627,0.883547
0.193115,1.043300
0.193604,1.182910
0.194092,1.273265
0.194580,1.320260
0.195068,1.347493
0.195557,1.372221
0.196045,1.390802
0.196533,1.394744
0.197021,1.385355
0.197510,1.392465
0.197998,1.468754
0.198486,1.633542
0.198975,1.840681
0.199463,2.002394
0.199951,2.042262
0.200439,1.937618
0.200928,1.716836
0.201416,1.451474
0.201904,1.206861
0.202393,1.009588
0.202881,0.859060
0.203369,0.745471
0.203857,0.662730
0.204346,0.612517
0.204834,0.595712
0.205322,0.603067
0.205811,0.602824
0.206299,0.559940
0.206787,0.455961
0.207275,0.302457
0.207764,0.133545
0.208252,0.132927
0.208740,0.354975
0.209229,0.634155
0.209717,0.924083
0.210205,1.160982
0.210693,1.287454
0.211182,1.270884
0.211670,1.145541
0.212158,1.000172
0.212646,0.907597
0.213135,0.853908
0.213623,0.780949
0.214111,0.679658
0.214600,0.597249
0.215088,0.563771
0.215576,0.532134
0.216064,0.430304
0.216553,0.243887
0.217041,0.038476
0.217529,0.207203
0.218018,0.342042
0.218506,0.386542
0.218994,0.384017
0.219482,0.398236
0.219971,0.435617
0.220459,0.464645
0.220947,0.474292
0.221436,0.493693
0.221924,0.527210
0.222412,0.535083
0.222900,0.474067
0.223389,0.329191
0.223877,0.136804
0.224365,0.222951
0.224854,0.509545
0.225342,0.811790
0.225830,1.090423
0.226318,1.305232
0.226807,1.413835
0.227295,1.395983
0.227783,1.267130
0.228271,1.081188
0.228760,0.887798
0.229248,0.690498
0.229736,0.449821
0.230225,0.152454
0.230713,0.241025
0.231201,0.628817
0.231689,1.063965
0.232178,1.563069
0.232666,2.101116
0.233154,2.591941
0.233643,2.930032
0.234131,3.049980
0.234619,2.936374
0.235107,2.657209
0.235596,2.314599
0.236084,1.988643
0.236572,1.703817
0.237061,1.449130
0.237549,1.223571
0.238037,1.056497
0.238525,1.005013
0.239014,1.104919
0.239502,1.320052
0.239990,1.572617
0.240479,1.778520
0.240967,1.874231
0.241455,1.847325
0.241943,1.741537
0.242432,1.630569
0.242920,1.554698
0.243408,1.485966
0.243896,1.370425
0.244385,1.196422
0.244873,1.016904
0.245361,0.913511
0.245850,0.898491
0.246338,0.900641
0.246826,0.855230
0.247314,0.759423
0.247803,0.687610
0.248291,0.722665
0.248779,0.818187
0.249268,0.868749
0.249756,0.844346
0.250244,0.827876
0.250732,0.916143
0.251221,1.069523
0.251709,1.178145
0.252197,1.206069
0.252686,1.208475
0.253174,1.279247
0.253662,1.437092
0.254150,1.596753
0.254639,1.667901
0.255127,1.621693
0.255615,1.489887
0.256104,1.325025
0.256592,1.165484
0.257080,1.027053
0.257568,0.905759
0.258057,0.788215
0.258545,0.668659
0.259033,0.565252
0.259521,0.501517
0.260010,0.483606
0.260498,0.492358
0.260986,0.501176
0.261475,0.503865
0.261963,0.515519
0.262451,0.539796
0.262939,0.557418
0.263428,0.567882
0.263916,0.605353
0.264404,0.719889
0.264893,0.925381
0.265381,1.184622
0.265869,1.435413
0.266357,1.604524
0.266846,1.633816
0.267334,1.508901
0.267822,1.276642
0.268311,1.043248
0.268799,0.922335
0.269287,0.922073
0.269775,0.950812
0.270264,0.972776
0.270752,1.011901
0.271240,1.074308
0.271729,1.109239
0.272217,1.067697
0.272705,0.956240
0.273193,0.834405
0.273682,0.781270
0.274170,0.795540
0.274658,0.792027
0.275146,0.697848
0.275635,0.504117
0.276123,0.253016
0.276611,0.071995
0.277100,0.258342
0.277588,0.424322
0.278076,0.532337
0.278564,0.574673
0.279053,0.547025
0.279541,0.453901
0.280029,0.309085
0.280518,0.154992
0.281006,0.188736
0.281494,0.397767
0.281982,0.635962
0.282471,0.866501
0.282959,1.055480
0.283447,1.180186
0.283936,1.244969
0.284424,1.277244
0.284912,1.304861
0.285400,1.334290
0.285889,1.352386
0.286377,1.359533
0.286865,1.377812
0.287354,1.432547
0.287842,1.534062
0.288330,1.669866
0.288818,1.806073
0.289307,1.900218
0.289795,1.928562
0.290283,1.891054
0.290771,1.814569
0.291260,1.741714
0.291748,1.694458
0.292236,1.657278
0.292725,1.598687
0.293213,1.502458
0.293701,1.360199
0.294189,1.175278
0.294678,0.959434
0.295166,0.728633
0.295654,0.533437
0.296143,0.479682
0.296631,0.610480
0.297119,0.799299
0.297607,0.958117
0.298096,1.060899
0.298584,1.104194
0.299072,1.094097
0.299561,1.049855
0.300049,0.982165
0.300537,0.888510
0.301025,0.762688
0.301514,0.607756
0.302002,0.437513
0.302490,0.294159
0.302979,0.283831
0.303467,0.422881
0.303955,0.601238
0.304443,0.768734
0.304932,0.892671
0.305420,0.949447
0.305908,0.930898
0.306396,0.845370
0.306885,0.715733
0.307373,0.566882
0.307861,0.406650
0.308350,0.235824
0.308838,0.154255
0.309326,0.330285
0.309814,0.548023
0.310303,0.733359
0.310791,0.878298
0.311279,1.001082
0.311768,1.122866
0.312256,1.242473
0.312744,1.330886
0.313232,1.357630
0.313721,1.307284
0.314209,1.183383
0.314697,1.018958
0.315186,0.845278
0.315674,0.670712
0.316162,0.492859
0.316650,0.339515
0.317139,0.309934
0.317627,0.440175
0.318115,0.639959
0.318604,0.872044
0.319092,1.112480
0.319580,1.321455
0.320068,1.450437
0.320557,1.472959
0.321045,1.395796
0.321533,1.264414
0.322021,1.128817
0.322510,1.023330
0.322998,0.947163
0.323486,0.881388
0.323975,0.823501
0.324463,0.790167
0.324951,0.810855
0.325439,0.905885
0.325928,1.062313
0.326416,1.240033
0.326904,1.398728
0.327393,1.500916
0.327881,1.538417
0.328369,1.531199
0.328857,1.536263
0.329346,1.596851
0.329834,1.692989
0.330322,1.758209
0.330811,1.727212
0.331299,1.571884
0.331787,1.302174
0.332275,0.964112
0.332764,0.625072
0.333252,0.337059
0.333740,0.140335
0.334229,0.140240
0.334717,0.249745
0.335205,0.336288
0.335693,0.362403
0.336182,0.318953
0.336670,0.223539
0.337158,0.149601
0.337646,0.252561
0.338135,0.453581
0.338623,0.677604
0.339111,0.904268
0.339600,1.140767
0.340088,1.417770
0.340576,1.741059
0.341064,2.064268
0.341553,2.311340
0.342041,2.418685
0.342529,2.364832
0.343018,2.164159
0.343506,1.864801
0.343994,1.534434
0.344482,1.230737
0.344971,0.985330
0.345459,0.801841
0.345947,0.681040
0.346436,0.633001
0.346924,0.672776
0.347412,0.785439
0.347900,0.908534
0.348389,0.976246
0.348877,0.948659
0.349365,0.828375
0.349854,0.646531
0.350342,0.446242
0.350830,0.288249
0.351318,0.328400
0.351807,0.547079
